prompt,answer_token,predicted_top1_token
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Axl Rose é o/a vocalista principal de", N, N
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Axl Rose é o/a vocalista principal de",','
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Axl Rose é o/a vocalista principal de", Roses, Roses
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Robert Plant é o/a vocalista principal de", Led, Led
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Robert Plant é o/a vocalista principal de", Ze, Ze
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Robert Plant é o/a vocalista principal de",ppelin,ppelin
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
James Hetfield é o/a vocalista principal de", Metal, Metal
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
James Hetfield é o/a vocalista principal de",lica,lica
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Kurt Cobain é o/a vocalista principal de", Nir, Nir
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Kurt Cobain é o/a vocalista principal de",vana,vana
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Freddie Mercury é o/a vocalista principal de", Queen, Queen
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Anthony Kiedis é o/a vocalista principal de", Red, Red
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Anthony Kiedis é o/a vocalista principal de", Hot, Hot
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Anthony Kiedis é o/a vocalista principal de", Chili, Chili
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Anthony Kiedis é o/a vocalista principal de", Pe, Pe
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Anthony Kiedis é o/a vocalista principal de",ppers,ppers
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Mick Jagger é o/a vocalista principal de", The, The
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Mick Jagger é o/a vocalista principal de", Rolling, Rolling
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Mick Jagger é o/a vocalista principal de", Stones, Stones
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
John Lennon é o/a vocalista principal de", The, The
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
John Lennon é o/a vocalista principal de", Beatles, Beatles
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Jim Morrison é o/a vocalista principal de", The, The
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Jim Morrison é o/a vocalista principal de", Doors, Doors
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Bono é o/a vocalista principal de", U, U
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Bono é o/a vocalista principal de",2,2
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Ozzy Osbourne é o/a vocalista principal de", Black, Oz
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Ozzy Osbourne é o/a vocalista principal de", Sabbath,zy
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Billie Joe Armstrong é o/a vocalista principal de", Green, Green
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Billie Joe Armstrong é o/a vocalista principal de", Day, Day
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Eddie Vedder é o/a vocalista principal de", Pearl, Pearl
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Eddie Vedder é o/a vocalista principal de", Jam, Jam
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Jon Bon Jovi é o/a vocalista principal de", Bon, Bon
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Jon Bon Jovi é o/a vocalista principal de", J, J
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Jon Bon Jovi é o/a vocalista principal de",ovi,ovi
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Don Henley é o/a vocalista principal de", The, The
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Don Henley é o/a vocalista principal de", Eagles, Eagles
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Liam Gallagher é o/a vocalista principal de", Oasis, Oasis
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Serj Tankian é o/a vocalista principal de", System, System
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Serj Tankian é o/a vocalista principal de", of, of
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Serj Tankian é o/a vocalista principal de", a, a
"Hayley Williams é o/a vocalista principal de Paramore.
Brandon Flowers é o/a vocalista principal de The Killers.
Deborah Harry é o/a vocalista principal de Blondie.
Thom Yorke é o/a vocalista principal de Radiohead.
Amy Lee é o/a vocalista principal de Evanescence.
Serj Tankian é o/a vocalista principal de", Down, Down
